;ID;site;ITD;Genus;Species;Sex;plant_genus;plant_species;Determined.by;Day;Month;Year
562;562;MIQ2OP;NA;Scolia;hirta;male;Sedum;sp;L.Castro;22;6;2005
563;563;FRA1OP;NA;Scolia;hirta;female;Sonchus;sp;L.Castro;14;6;2005
564;564;FRA1OP;NA;Euphorinae;sp;female;Daucus;sp;L.O. Aguado;22;6;2004
565;565;MIQ2OP;NA;Euphorinae;sp;female;Daucus;sp;L.O. Aguado;6;7;2004
566;566;SEL2OP;NA;NA;NA;unknown;Ruta;sp;;8;6;2005
567;567;BAT2CA;NA;NA;NA;unknown;Erica;sp;;16;3;2004
568;568;FRA1OP;NA;Sphaerophoeria;scripta;unknown;Daucus;sp;I. Bartomeus;22;6;2004
569;569;MED3CA;NA;NA;NA;unknown;Cistus;monpeliensis;;23;5;2005
570;570;MED3CA;NA;NA;NA;unknown;Cistus;monpeliensis;;23;5;2005
571;571;FRA1OP;NA;NA;NA;unknown;Sonchus;sp;;14;6;2005
572;572;SEL2OP;NA;Formosia;moneta;unknown;Umbelifera;NA;I. Bartomeus;21;6;2004
573;573;BAT1CA;NA;NA;NA;unknown;Erica;arborea;;13;4;2005
574;574;BAT2CA;NA;NA;NA;unknown;Erica;sp;;16;3;2004
575;575;MIQ2OP;NA;Gymnosoma;rotundatum;unknown;Daucus;carota;L.O. Aguado;11;6;2005
576;576;MIQ2OP;NA;Gymnosoma;rotundatum;unknown;Daucus;carota;L.O. Aguado;22;6;2005
577;577;MIQ1OP;NA;NA;NA;unknown;Sonchus;sp;;11;6;2005
578;578;MIQ1OP;NA;NA;NA;unknown;Daucus;carota;;28;6;2005
579;579;MIQ1OP;NA;Myopa;fasciata;unknown;Eryngium;sp;I. Bartomeus;29;6;2004
580;580;BAT1CA;NA;NA;NA;unknown;Thymelea;hirsuta;L.O. Aguado;21;4;2005
581;581;BAT2CA;NA;NA;NA;unknown;Lavandula;stoechas;L.O. Aguado;28;4;2005
582;582;MED2CA;NA;NA;NA;unknown;Cistus;monspeliensis;L.O. Aguado;24;5;2005
583;583;BAT2CA;NA;NA;NA;unknown;Thymelea;hirsuta;L.O. Aguado;21;4;2005
