Genus,species,subspecies,year,latitude,longitude
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2018,43.42824,-5.50005
Bombus,magnus,,2018,43.42824,-5.50005
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,,2017,43.03885,-5.47858
Bombus,magnus,vasco,2017,43.03885,-5.47858
Bombus,magnus,,2018,43.18991,-5.47448
Bombus,magnus,,2018,43.18991,-5.47448
Bombus,magnus,,2018,43.18991,-5.47448
Bombus,magnus,,2018,43.18991,-5.47448
Bombus,magnus,,2018,43.18991,-5.47448
Bombus,magnus,,2018,43.18991,-5.47448
Bombus,magnus,,2017,43.23324,-5.46632
Bombus,magnus,,2017,43.23324,-5.46632
Bombus,magnus,,2017,43.23324,-5.46632
Bombus,magnus,,2017,43.23324,-5.46632
Bombus,magnus,,2017,43.23324,-5.46632
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.24796,-5.46593
Bombus,magnus,,2017,43.23229,-5.46205
Bombus,magnus,,2017,43.23229,-5.46205
Bombus,magnus,,2017,43.23229,-5.46205
Bombus,magnus,,2018,42.89114,-5.4223
Bombus,magnus,,2018,42.89114,-5.4223
Bombus,magnus,,2018,42.89114,-5.4223
Bombus,magnus,,2018,42.89114,-5.4223
Bombus,magnus,,2018,42.89114,-5.4223
Bombus,magnus,,2018,42.89114,-5.4223
Bombus,magnus,,2018,42.89114,-5.4223
